Clean tweet,L,absPolarity,sentiment_polarity,sentiment_subjectivity,tweet,url,dont,im,still,even,day,call,way,say,didnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Just cause Im pregnant and single doesnt mean Im gonna fulfill your pregnancy fantasies My situation doesnt not translate to desperate,True,0.16,-0.16,0.6,,0,False,True,False,False,False,False,False,False,False,0.6456781640748862,0.19843040728394062,0.13050294787851352,-0.13325964965466358,0.0033508834851071166,-0.07329687643689801,0.026316174449478005,0.05302421295204513,0.006939708824856801,-3.347172306174546e-17,-1.0763785884525963e-17,4.487629634555489e-17,-3.9641329242837655e-17,-5.917242163865062e-17,-5.5142424033952254e-17,7.091655137111391e-17
Ion never be really hungry through out this whole pregnancy but the last 2 days  Omg ,True,0.13,0.13,0.22,,0,False,False,False,False,True,False,False,False,False,0.08289647494171355,-0.25472660287014026,0.025947862500825047,0.02957715933165933,0.5170810546042097,-0.20771749601899941,-0.1562966549497749,-0.2962251793497216,0.06322227374680023,3.132858036758478e-17,5.964019393687327e-17,-1.1595663678951095e-16,3.286763480005535e-17,1.3499527946925395e-16,2.8474591039931793e-16,-2.008296723637607e-16
so sick of going through this pregnancy on my own,True,0.02,0.02,0.93,,0,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
think i just got a prank call saying apparently i took a pregnancy test a month ago and it came back positive lmao yh makes sense mate,True,0.22,0.22,0.47,,0,False,False,False,False,False,True,False,True,False,0.10727218408040273,-0.18249349240100335,-0.6044741006966865,-0.4660558611267979,-0.25575438410416973,-0.03255616687126028,0.27843043171406157,-0.47738040751455857,0.026571260359635376,3.1673829195164406e-16,1.5946807301189855e-16,-2.3661969197558523e-16,3.6867079408075985e-16,4.550872347882584e-16,4.886325358795008e-16,-4.63979057511038e-16
like wayyy too many hours amp now that Im this far along in my pregnancy I dont want it anymore Im too tired,True,0.07,0.07,0.73,,0,True,True,False,False,False,False,False,False,False,0.8701594672839621,-0.35234997532849593,0.16694842133159005,0.09430075463740817,-0.15096620104111258,0.15791184288025895,0.09479586374646783,0.15425363457087815,0.03741931495118588,-8.5419848511608e-17,-7.16743852982842e-17,9.095645021522577e-17,-1.0088436326198555e-16,-1.3978429041785979e-16,-1.931478966070082e-16,1.639023695127452e-16
Tomorrow ill be 19 weeks Then next week ill be 20 Thats already half way through my pregnancy Oh my where is the time going,True,0.29,-0.29,0.54,,0,False,False,False,False,False,False,True,False,False,0.031004077798991284,-0.03759382237534786,-0.06071594257723741,0.07740424017749097,0.06068095707529866,-0.09215483314555058,0.09889885526761955,0.016123026401404755,-0.6824455892020266,2.059351103722707e-16,2.4541671652945625e-16,-1.6276110610803154e-16,3.4950605131088187e-16,1.5543654505405699e-16,4.2350868525315226e-16,-3.7676199345529105e-16
I felt Lucys pregnant belly today for the first time but I didnt feel her baby kick ,True,0.29,0.29,0.42,,0,False,False,False,False,False,False,False,False,True,0.04418566402927121,0.10490192625254494,-0.29770184759561147,0.34655151025012754,0.1612758222721471,-0.195099654115083,0.3956825159181126,0.17527770240296647,0.16418946798129547,-2.4373782905177316e-16,-1.6117293483531977e-16,2.796076835988866e-16,-3.3718115515120962e-16,-4.005978372067273e-16,-3.79607078811937e-16,4.841856541738062e-16
 Im your girlfriend that so happen to be pregnant with your child not your Babymomyoo I say this all the fuckin time,True,0.33,0.33,0.5,,0,False,True,False,False,False,False,False,True,False,0.6923383274224338,0.19930022013005536,0.04201911578548122,-0.17212264317482287,-0.23130621853853423,-0.06230924467796315,0.33958079001222563,-0.5257162911616946,0.0218520435673611,3.2168649318722115e-16,1.8244734747254717e-16,-2.852913708367204e-16,3.928500555592138e-16,4.822204108319254e-16,5.924596428500435e-16,-5.163068482497504e-16
I still cant believe Naya is pregnant omg,True,0.33,0.33,0.5,,0,False,False,True,False,False,False,False,False,False,0.10756261279540413,0.2147162437715889,-0.2891899801730329,0.20140718359151938,0.15198859524198804,0.48099537431674655,-0.21247075571601626,-0.12894136910426662,-0.04364331398669717,3.2728274366981864e-17,7.341207289247721e-18,-1.4908040114230693e-16,9.018266603181423e-17,1.7289952120552293e-16,1.79957673012691e-16,-2.0589959377721738e-16
yesterday watching Catfish I said it was crazy how a female could not know she was pregnant I thought it was impossible lol,True,0.03,-0.03,0.65,,0,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
